,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Tenet,2020,150,7.6,69,"203,140",53.8
1,Home Alone,1990,103,7.6,63,"467,774",285.76
2,Citizen Kane,1941,119,8.3,100,"398,442",1.59
3,Die Hard,1988,132,8.2,72,"779,258",83.01
4,Klaus,2019,96,8.2,65,"86,254",
5,It's a Wonderful Life,1946,130,8.6,89,"395,255",
6,The Gentlemen,2019,113,7.8,51,"215,246",
7,Knives Out,2019,130,7.9,82,"428,061",165.36
8,The Godfather,1972,175,9.2,100,"1,601,170",134.97
9,The Godfather: Part III,1990,162,7.6,60,"355,986",66.67
10,1917,2019,119,8.3,78,"401,619",159.23
11,A Christmas Story,1983,93,7.9,77,"129,413",20.61
12,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,"646,813",317.58
13,The Trial of the Chicago 7,2020,129,7.8,77,"70,400",
14,Avengers: Endgame,2019,181,8.4,78,"788,051",858.37
15,Inception,2010,148,8.8,74,"2,044,089",292.58
16,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,644,024",315.54
17,Parasite,2019,132,8.6,96,"521,272",53.37
18,Once Upon a Time... In Hollywood,2019,161,7.6,83,"535,744",142.5
19,Interstellar,2014,169,8.6,74,"1,488,985",188.02
20,The Nightmare Before Christmas,1993,76,8.0,82,"296,411",75.08
21,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"362,816",190.24
22,The Shawshank Redemption,1994,142,9.3,80,"2,318,679",28.34
23,Joker,2019,122,8.5,59,"910,162",335.45
24,Rogue One: A Star Wars Story,2016,133,7.8,65,"548,285",532.18
25,The Dark Knight,2008,152,9.0,84,"2,280,859",534.86
26,The Wolf of Wall Street,2013,180,8.2,75,"1,167,397",116.9
27,Mulan,1998,88,7.6,71,"253,901",120.62
28,Jojo Rabbit,2019,108,7.9,58,"283,636",0.35
29,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,"1,220,212",322.74
30,Inglourious Basterds,2009,153,8.3,69,"1,253,145",120.54
31,Little Women,2019,135,7.8,91,"134,956",108.1
32,Gone Girl,2014,149,8.1,79,"850,017",167.77
33,The Prestige,2006,130,8.5,66,"1,177,308",53.09
34,L̩on: The Professional,1994,110,8.5,64,"1,025,143",19.5
35,Pulp Fiction,1994,154,8.9,94,"1,808,939",107.93
36,Blade Runner 2049,2017,164,8.0,81,"454,018",92.05
37,Hamilton,2020,160,8.6,90,"49,405",
38,Wonder,2017,113,8.0,66,"138,898",132.42
39,Green Book,2018,130,8.2,69,"362,091",85.08
40,The Matrix,1999,136,8.7,73,"1,659,258",171.48
41,Titanic,1997,194,7.8,75,"1,037,045",659.33
42,Deadpool,2016,108,8.0,65,"895,023",363.07
43,The Fifth Element,1997,126,7.7,52,"431,003",63.54
44,Mad Max: Fury Road,2015,120,8.1,90,"872,409",154.06
45,Gladiator,2000,155,8.5,67,"1,328,784",187.71
46,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,"941,301",309.13
47,Falling Down,1993,113,7.6,56,"169,799",40.9
48,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"1,148,289",290.48
49,Back to the Future,1985,116,8.5,87,"1,046,814",210.61
